Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
12:25:06:07.616,61,0.0000000000,0.0000000000,0.1490159035,0.0000000000,0.4823192954,0.2121845037,0.3913522065,0.0000000000,0.0000000000,0.0000000000,0.0447748303,0.4840934873,0.2121094316,0.3927808404,0.0457411781,0.0084898695,0.0000000000,0.0192579739,0.0226004049,0.0794046372,0.0436018929,0.0267907251,0.0000000000,0.0000000000,0.0000000000,0.1388212889,0.1823848486,0.0620897934,0.0511595421,0.1917012781,0.1868859529,0.0604287460,0.0478321165,0.0754352957,0.0715921149,0.0268722307,0.0231353994,0.0442287028,0.0446838103,0.0249872152,0.0213006213,0.0002258047,0.0000000000,0.1430570632,0.0000000000,0.0023059081,0.0423199832,0.0181125440,0.0146631496,0.0434438698,0.0392352492,0.0000045456,0.0000000000,0.0000000000,0.0000000000,0.0267433487,-0.2113023400,-0.0057358174,0.0890148729,-0.2113006413,-0.0190664027
12:25:06:09.616,61,0.0000000000,0.0000000000,0.1378272027,0.0000000000,0.4918643534,0.2151673138,0.3922266960,0.0000000000,0.0000000000,0.0000000000,0.0336482450,0.4934617877,0.2150958329,0.3936646879,0.0459552556,0.0085511701,0.0000000000,0.0194371939,0.0227554552,0.0796828493,0.0435826965,0.0270483512,0.0000000000,0.0000000000,0.0000000000,0.1382633746,0.1818013936,0.0619148426,0.0510295704,0.1924605370,0.1875393838,0.0605392121,0.0481022671,0.0748722479,0.0713286623,0.0267358366,0.0230072550,0.0444817580,0.0449087657,0.0248686858,0.0211913791,0.0000000000,0.0000000000,0.1435663551,0.0002693012,0.0027881972,0.0423347130,0.0181374811,0.0146810375,0.0435148478,0.0392853655,0.0000056416,0.0000000000,0.0000000000,0.0000000000,0.0200798661,-0.2153573930,-0.0043921405,0.0822578669,-0.2153558880,-0.0179715324
12:25:06:11.615,61,0.0000000000,0.0000000000,0.1321605742,0.0000000000,0.4954545498,0.2176255286,0.3929945230,0.0000000000,0.0000000000,0.0000000000,0.0279705860,0.4969563782,0.2175569385,0.3944386244,0.0460224263,0.0085749459,0.0000000000,0.0195543505,0.0228630826,0.0798742846,0.0436190031,0.0271971952,0.0000000000,0.0000000000,0.0000000000,0.1378674805,0.1814058125,0.0616656505,0.0508569516,0.1929839402,0.1881175488,0.0605364926,0.0482031293,0.0744898468,0.0711476207,0.0266326498,0.0228982382,0.0446369536,0.0450458899,0.0247824956,0.0211102366,0.0000000000,0.0000000000,0.1440650821,0.0006602407,0.0031674746,0.0423805602,0.0181718320,0.0147125982,0.0436330587,0.0393706635,0.0000060171,0.0000000000,0.0000000000,0.0000000000,0.0166861042,-0.2168687731,-0.0036763274,0.0788491890,-0.2168673575,-0.0173532926
12:25:06:13.615,61,0.0000000000,0.0000000000,0.1373736560,0.0000000000,0.4921692312,0.2187325060,0.3939886689,0.0000000000,0.0000000000,0.0000000000,0.0332118273,0.4937590361,0.2186643630,0.3954087794,0.0459849611,0.0085760504,0.0000000000,0.0196068175,0.0228860490,0.0798890591,0.0435562097,0.0272388589,0.0000000000,0.0000000000,0.0000000000,0.1343045384,0.1752764732,0.0614103787,0.0506842546,0.1931323260,0.1883183271,0.0602133386,0.0481646247,0.0740470216,0.0708382055,0.0264497288,0.0227330159,0.0447901748,0.0451872535,0.0246852376,0.0210293159,0.0000000000,0.0000000000,0.1441703737,0.0009103399,0.0033937637,0.0422378778,0.0181772988,0.0147230309,0.0436889455,0.0394175127,0.0000057127,0.0000000000,0.0000000000,0.0000000000,0.0198188704,-0.2154859751,-0.0043377308,0.0819848329,-0.2154844701,-0.0179230571
12:25:06:15.615,61,0.0000000000,0.0000000000,0.1298358589,0.0000000000,0.4934992194,0.2193685770,0.3943608999,0.0000000000,0.0000000000,0.0000000000,0.0257250052,0.4949518740,0.2193007618,0.3957852423,0.0460605398,0.0086100288,0.0000000000,0.0196740050,0.0229317006,0.0799936354,0.0434386134,0.0272803400,0.0000000000,0.0000000000,0.0000000000,0.1330652237,0.1734023690,0.0611908510,0.0505562611,0.1933950782,0.1886346489,0.0600342266,0.0482264571,0.0735852420,0.0705989301,0.0262991656,0.0225889552,0.0449668095,0.0453490429,0.0245777033,0.0209374987,0.0000000000,0.0000000000,0.1442629546,0.0013079513,0.0037722718,0.0420887321,0.0181780308,0.0147331031,0.0437408201,0.0394527130,0.0000057679,0.0000000000,0.0000000000,0.0000000000,0.0153494431,-0.2159893066,-0.0033677060,0.0774768740,-0.2159878165,-0.0169805922
12:25:06:17.615,61,0.0000000000,0.0000000000,0.1310822219,0.0000000000,0.4943813980,0.2197627127,0.3948762119,0.0000000000,0.0000000000,0.0000000000,0.0268956330,0.4958600104,0.2196962833,0.3963029087,0.0461657532,0.0086664334,0.0000000000,0.0197348390,0.0229791254,0.0801232308,0.0433565453,0.0275206491,0.0000000000,0.0000000000,0.0000000000,0.1327197105,0.1727368385,0.0610817820,0.0504924208,0.1937604398,0.1889338493,0.0599939525,0.0483025387,0.0732973963,0.0704749376,0.0261961017,0.0224964228,0.0451071896,0.0454730727,0.0245065074,0.0208749026,0.0000000000,0.0000000000,0.1444571167,0.0017968155,0.0042467527,0.0420252495,0.0181750786,0.0147309322,0.0437578522,0.0394634530,0.0000055671,0.0000000000,0.0000000000,0.0000000000,0.0160465240,-0.2163880467,-0.0035273400,0.0782139301,-0.2163865715,-0.0171744265
12:25:06:19.614,61,0.0000000000,0.0000000000,0.1242550835,0.0000000000,0.4950715303,0.2201959640,0.3953505754,0.0000000000,0.0000000000,0.0000000000,0.0199292488,0.4964244366,0.2201297879,0.3967885077,0.0462281294,0.0086466558,0.0000000000,0.0197849963,0.0230357219,0.0802820548,0.0433712713,0.0277634431,0.0000000000,0.0000000000,0.0000000000,0.1324678510,0.1725072116,0.0610357188,0.0504920408,0.1939614564,0.1891156733,0.0601062402,0.0484112948,0.0731024072,0.0703277662,0.0261610039,0.0224543512,0.0451591015,0.0454990231,0.0244495515,0.0208191685,0.0000000000,0.0000000000,0.1447557658,0.0021337494,0.0045718942,0.0421415232,0.0182033684,0.0147563918,0.0438155867,0.0394973569,0.0000054539,0.0000000000,0.0000000000,0.0000000000,0.0118895946,-0.2166215777,-0.0026165317,0.0741357952,-0.2166201323,-0.0162989162
12:25:06:21.614,61,0.0000000000,0.0000000000,0.1247892901,0.0000000000,0.4928437769,0.2203702033,0.3953717351,0.0000000000,0.0000000000,0.0000000000,0.0205534846,0.4942008257,0.2203047425,0.3968173265,0.0462939702,0.0087087192,0.0000000000,0.0198643617,0.0231007542,0.0804023743,0.0433448888,0.0279532745,0.0000000000,0.0000000000,0.0000000000,0.1323591024,0.1725579351,0.0609179288,0.0504076667,0.1942295879,0.1893754452,0.0601022430,0.0485088937,0.0728320032,0.0702560544,0.0260807835,0.0223766230,0.0453126505,0.0456376746,0.0243956875,0.0207643826,0.0000000000,0.0000000000,0.1451155394,0.0027046222,0.0051422846,0.0420868061,0.0182070639,0.0147587545,0.0438581221,0.0395200700,0.0000050529,0.0000000000,0.0000000000,0.0000000000,0.0122646187,-0.2156522423,-0.0026865967,0.0744703636,-0.2156507820,-0.0162967462
12:25:06:23.614,61,0.0000000000,0.0000000000,0.1287055016,0.0000000000,0.4934161603,0.2205432355,0.3956990242,0.0000000000,0.0000000000,0.0000000000,0.0244721975,0.4948477745,0.2204784751,0.3971586525,0.0463361740,0.0087385830,0.0000000000,0.0198985785,0.0231337100,0.0804897696,0.0433306284,0.0281653740,0.0000000000,0.0000000000,0.0000000000,0.1323836148,0.1728046983,0.0608708039,0.0503521301,0.1943770796,0.1894745529,0.0601023585,0.0485879891,0.0726276934,0.0701294690,0.0260208268,0.0223245453,0.0453774929,0.0456925444,0.0243366528,0.0207065828,0.0000000000,0.0000000000,0.1454672068,0.0033324081,0.0057772826,0.0421209298,0.0182108637,0.0147548001,0.0438573509,0.0395137221,0.0000051776,0.0000000000,0.0000000000,0.0000000000,0.0146020716,-0.2159414440,-0.0032030116,0.0768030137,-0.2159400284,-0.0168293826
12:25:06:25.613,61,0.0000000000,0.0000000000,0.1256829053,0.0000000000,0.4944838583,0.2208464593,0.3958183229,0.0000000000,0.0000000000,0.0000000000,0.0214441046,0.4958619177,0.2207816988,0.3972914517,0.0463668033,0.0087572662,0.0000000000,0.0198847894,0.0230976380,0.0805096105,0.0432133712,0.0284349937,0.0000000000,0.0000000000,0.0000000000,0.1320940256,0.1728441268,0.0609792024,0.0504408889,0.1943414062,0.1894458383,0.0600814484,0.0486209057,0.0724971294,0.0699334145,0.0259612575,0.0222627968,0.0454039648,0.0457022935,0.0243037269,0.0206668414,0.0000000000,0.0000000000,0.1454913318,0.0037609600,0.0062094182,0.0420321822,0.0182266179,0.0147643816,0.0438699052,0.0395043455,0.0000050049,0.0000000000,0.0000000000,0.0000000000,0.0127940290,-0.2163785398,-0.0028122985,0.0749918371,-0.2163770348,-0.0164676476
12:25:06:27.613,61,0.0000000000,0.0000000000,0.1199230030,0.0000000000,0.4927375019,0.2209846377,0.3959967792,0.0000000000,0.0000000000,0.0000000000,0.0156242456,0.4940035641,0.2209203094,0.3974759579,0.0463208817,0.0087951720,0.0000000000,0.0198751185,0.0230761264,0.0805210769,0.0431264117,0.0284820218,0.0000000000,0.0000000000,0.0000000000,0.1311862320,0.1724197567,0.0610507764,0.0505452268,0.1942985207,0.1894986033,0.0600211546,0.0486520380,0.0723759830,0.0697479621,0.0259288475,0.0222204477,0.0454507694,0.0457382500,0.0242543593,0.0206198636,0.0000000000,0.0000000000,0.1455704719,0.0042198095,0.0066636521,0.0420088768,0.0182519946,0.0147937667,0.0439107269,0.0395215228,0.0000050333,0.0000000000,0.0000000000,0.0000000000,0.0093234377,-0.2155592144,-0.0020414384,0.0715672895,-0.2155577391,-0.0156556945
12:25:06:29.613,61,0.0000000000,0.0000000000,0.1245255992,0.0000000000,0.4864911735,0.2206455171,0.3950088024,0.0000000000,0.0000000000,0.0000000000,0.0201376155,0.4878279865,0.2205809951,0.3965092897,0.0463506319,0.0088150790,0.0000000000,0.0198815092,0.0230747331,0.0805232152,0.0430365987,0.0286018364,0.0000000000,0.0000000000,0.0000000000,0.1306887269,0.1722019762,0.0612038560,0.0506806411,0.1941703111,0.1894109994,0.0599633269,0.0487263799,0.0723087117,0.0696161166,0.0258819591,0.0221763495,0.0455179438,0.0458037741,0.0242353138,0.0206001047,0.0000000000,0.0000000000,0.1454351693,0.0043577459,0.0067994110,0.0419174135,0.0182775632,0.0148166064,0.0439293422,0.0395312645,0.0000059271,0.0000000000,0.0000000000,0.0000000000,0.0120237358,-0.2128707319,-0.0025988072,0.0743578002,-0.2128690183,-0.0160557814
12:25:06:31.613,61,0.0000000000,0.0000000000,0.1412164271,0.0000000000,0.2903617322,0.1970739514,0.3053997457,0.0000000000,0.0000000000,0.0000000000,0.0362342671,0.2913745046,0.1969892532,0.3069927096,0.0462806299,0.0088241724,0.0000000000,0.0200829525,0.0231618118,0.0804384127,0.0429878868,0.0282721911,0.0000000000,0.0000000000,0.0000000000,0.1305373907,0.1750991046,0.0614062026,0.0508172624,0.1912042052,0.1886029392,0.0595402122,0.0490893945,0.0722415969,0.0700166523,0.0257721841,0.0220839586,0.0458612703,0.0462071225,0.0243466217,0.0206746887,0.0000000000,0.0000000000,0.1424564570,0.0038879067,0.0063504018,0.0413924679,0.0183624439,0.0149089824,0.0440880023,0.0396641083,0.0000064743,0.0000000000,0.0000000000,0.0000000000,0.0219555851,-0.1271669269,-0.0028069397,0.0855711028,-0.1271619946,-0.0109266443
12:25:06:33.612,61,0.1570789367,0.1264373362,0.1751409769,0.0000000000,0.0000000000,0.1645653546,0.0246594399,0.1555605382,0.1270276457,0.0000000000,0.0692728981,0.0000000000,0.1644323021,0.0271006823,0.0452419110,0.0087537663,0.0000000000,0.0201833155,0.0232082233,0.0803704858,0.0430679396,0.0264965687,0.0000000000,0.0000000000,0.0000000000,0.1297041029,0.1754358709,0.0617875643,0.0512250811,0.1899783909,0.1882663667,0.0595349371,0.0503886528,0.0723999888,0.0748082399,0.0260827150,0.0222935174,0.0461697802,0.0466175675,0.0245756321,0.0208266620,0.0000000000,0.0000000000,0.1691218019,0.0310906991,0.0406545103,0.0408923849,0.0192497391,0.0156372357,0.0494509339,0.0422844514,0.0000061798,0.0000000000,0.0000000000,0.0000000000,0.0421889909,0.0776660293,0.0032822702,0.1066673696,0.0776785538,0.0082865469
12:25:06:35.612,61,0.3504259884,0.1964235455,0.2098764032,0.0000000000,0.0000000000,0.1445973814,0.0000000000,0.3279883265,0.1976063401,0.0000000000,0.1051016375,0.0000000000,0.1443071961,0.0000000000,0.0446053892,0.0088320896,0.0000000000,0.0202791970,0.0233566053,0.0807808861,0.0432833768,0.0212192778,0.0000000000,0.0000000000,0.0000000000,0.1240391508,0.1753082573,0.0621998683,0.0515729301,0.1894378960,0.1882130355,0.0604400262,0.0535304025,0.0726138055,0.0784902051,0.0266528465,0.0226995889,0.0462660864,0.0468517728,0.0248454213,0.0209808890,0.0000000000,0.0000000000,0.2095230818,0.0739098713,0.0886725038,0.0406055525,0.0211618934,0.0165544655,0.0542216264,0.0446597598,0.0000070838,0.0000000000,0.0000000000,0.0000000000,0.0637351125,0.1209576502,0.0077416692,0.1272793710,0.1209716275,0.0154297771
12:25:06:37.612,61,0.2105928361,0.1287898421,0.2032189816,0.0000000000,0.0000000000,0.1340121627,0.0000000000,0.2059153616,0.1295337528,0.0000000000,0.0976997539,0.0000000000,0.1337299049,0.0000000000,0.0434422269,0.0088190110,0.0000000000,0.0202262048,0.0232729241,0.0807563365,0.0434598960,0.0196841862,0.0000000000,0.0000000000,0.0000000000,0.1220994592,0.1749048680,0.0627711341,0.0520925447,0.1871837974,0.1876046658,0.0607935004,0.0544979759,0.0735494420,0.0803243965,0.0272773672,0.0231526755,0.0463159531,0.0470142365,0.0252017677,0.0212171823,0.0000000000,0.0000000000,0.2035935521,0.0749414861,0.0868127793,0.0402778536,0.0220512990,0.0172200222,0.0562218912,0.0459014960,0.0000069287,0.0000000000,0.0000000000,0.0000000000,0.0594944321,0.0792682022,0.0047230967,0.1237534583,0.0792808011,0.0098064914
12:25:06:39.612,61,0.0691807866,0.0000000000,0.1837540120,0.0000000000,0.0219199900,0.1290488541,0.0000000000,0.0673450381,0.0000000000,0.0000000000,0.0785167366,0.0220546816,0.1287669539,0.0000000000,0.0428064652,0.0088831447,0.0000000000,0.0202577189,0.0231513958,0.0804838315,0.0434149802,0.0192064159,0.0000000000,0.0000000000,0.0000000000,0.1208140776,0.1743550301,0.0637172908,0.0526684187,0.1860613674,0.1861459613,0.0609119311,0.0550438762,0.0740716830,0.0814265907,0.0276852865,0.0234860778,0.0465150550,0.0472942628,0.0255347583,0.0214540623,0.0000000000,0.0000000000,0.1767229438,0.0497175604,0.0566577874,0.0397779867,0.0224983152,0.0175908487,0.0569469668,0.0464437343,0.0000063455,0.0000000000,0.0000000000,0.0000000000,0.0479609258,-0.0096342489,-0.0004619047,0.1122437939,-0.0096249674,-0.0010781088
12:25:06:41.611,61,0.0160932951,0.0000000000,0.1737979352,0.0000000000,0.1829009950,0.1295362711,0.0092439335,0.0160847679,0.0000000000,0.0000000000,0.0687585697,0.1837859154,0.1293299943,0.0102493092,0.0423735194,0.0089999987,0.0000000000,0.0203109141,0.0230336823,0.0799894705,0.0432858355,0.0200999044,0.0000000000,0.0000000000,0.0000000000,0.1087042242,0.1665931493,0.0644389689,0.0530849025,0.1852908731,0.1846510172,0.0605881922,0.0551904850,0.0742921680,0.0817802995,0.0278362986,0.0236372463,0.0468030348,0.0476385765,0.0257687643,0.0216101259,0.0000000000,0.0000000000,0.1605013907,0.0307827648,0.0346571207,0.0391917489,0.0226187631,0.0177037716,0.0568601377,0.0465020835,0.0000062001,0.0000000000,0.0000000000,0.0000000000,0.0418671668,-0.0802621990,-0.0033665891,0.1058279499,-0.0802555755,-0.0084954817
