Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
16:57:06:45.835,61,0.4196371436,0.4499747753,0.1207020357,0.0000000000,0.0000000000,0.0662782416,0.0000000000,0.4130750299,0.4510293603,0.0000000000,0.0126544200,0.0000000000,0.0662904456,0.0000000000,0.0493595973,0.0414463095,0.0000000000,0.0142937675,0.0110925520,0.3438166976,0.4371613562,0.0000000000,0.0263795666,0.2508350611,0.2915227115,0.0000000000,0.0000000000,0.0563977174,0.0611269474,0.1717323661,0.1869508475,0.0574834123,0.0169834420,0.3022989333,0.4061660767,0.1074488536,0.0983744934,0.1649250984,0.1748298854,0.1619411856,0.1678137779,0.0000000000,0.0000000000,0.4888778925,0.3573154509,0.3572469056,0.0885277465,0.0727904737,0.0805752948,0.1677641869,0.1730585694,0.0000392973,0.0000000000,0.0000000000,0.0000000000,0.0074385921,0.2755259871,0.0021029911,0.0709599629,0.2755855322,0.0200465992
16:57:06:47.835,61,0.8710445166,0.4653950036,0.1188346669,0.0000000000,0.0000000000,0.0681181699,0.0000000000,0.8700894713,0.4664517343,0.0000000000,0.0127594471,0.0000000000,0.0681353733,0.0000000000,0.0490791462,0.0479577333,0.0000000000,0.0143611962,0.0113159381,0.3599266112,0.4383327961,0.0000000000,0.0270503704,0.2581643462,0.2841069996,0.0000000000,0.0000000000,0.0545845777,0.0590801872,0.1686702371,0.1824501157,0.0616221130,0.0187929552,0.2689822018,0.3585909307,0.1093470156,0.1003783047,0.1524265707,0.1625342518,0.1466931403,0.1524896920,0.0000000000,0.0000000000,0.5520566106,0.3794419765,0.3793793917,0.0880276486,0.0940593407,0.0920969397,0.1646604538,0.1714852154,0.0000342570,0.0000000000,0.0000000000,0.0000000000,0.0074800220,0.2849473357,0.0021910125,0.0696733072,0.2850043774,0.0203935727
16:57:06:49.835,61,0.8906041980,0.4704872072,0.1248145476,0.0000000000,0.0000000000,0.0706363842,0.0000000000,0.8905801773,0.4716612101,0.0000000000,0.0190316979,0.0000000000,0.0706592873,0.0000000000,0.0489020161,0.0530217588,0.0000000000,0.0144891990,0.0115302177,0.3650516570,0.4317646623,0.0000000000,0.0271592326,0.3006989956,0.3154777288,0.0000000000,0.0000000000,0.0533928275,0.0577270426,0.1670681387,0.1798866540,0.0632372350,0.0200866908,0.2516388893,0.3478660583,0.1099211276,0.1010376140,0.1488210261,0.1590086669,0.1545714587,0.1544360816,0.0000000000,0.0000000000,0.5726599693,0.3889117539,0.3888884485,0.0852188393,0.1032359377,0.0986287147,0.1633442640,0.1707715690,0.0000279920,0.0000000000,0.0000000000,0.0000000000,0.0111465612,0.2881398797,0.0033036282,0.0731118172,0.2881961465,0.0216512661
16:57:06:51.834,61,0.5215820670,0.4873501658,0.1322697103,0.0000000000,0.0000000000,0.0706850439,0.0000000000,0.5225202441,0.4887161851,0.0000000000,0.0223108791,0.0000000000,0.0707056820,0.0000000000,0.0490500033,0.0541329980,0.0000000000,0.0144784264,0.0117333895,0.3672080040,0.4310157597,0.0000000000,0.0273059364,0.3109500110,0.3246144652,0.0000000000,0.0000000000,0.0526241325,0.0570421666,0.1660450250,0.1786081493,0.0642724037,0.0208395571,0.3027535379,0.3940820396,0.1091349572,0.1007404625,0.1472386718,0.1574697942,0.1749019921,0.1809158325,0.0000000000,0.0000000000,0.5840757489,0.4024755955,0.4024740160,0.0845841765,0.1066179127,0.1013814062,0.1641121209,0.1706695557,0.0000317420,0.0000000000,0.0000000000,0.0000000000,0.0130260577,0.2985658646,0.0040088370,0.0772375464,0.2986229360,0.0237477850
16:57:06:53.834,61,0.2935795486,0.4401886761,0.1257573813,0.0000000000,0.0000000000,0.0707925856,0.0000000000,0.2940202951,0.4413090348,0.0000000000,0.0154537940,0.0000000000,0.0708118230,0.0000000000,0.0492717549,0.0535999611,0.0000000000,0.0144274384,0.0118484646,0.3651475906,0.4307681322,0.0000000000,0.0275302026,0.3138920963,0.3287653625,0.0000000000,0.0000000000,0.0520164855,0.0565030053,0.1653452218,0.1779065281,0.0646245852,0.0211586487,0.3314700127,0.4045309722,0.1060889065,0.0979306102,0.1485328376,0.1590380520,0.1846643239,0.1894527972,0.0000000000,0.0000000000,0.5532044768,0.3694972396,0.3695142269,0.0840321481,0.1066915989,0.1026873961,0.1725318730,0.1739670932,0.0000239752,0.0000000000,0.0000000000,0.0000000000,0.0090992218,0.2695917785,0.0025142455,0.0740550831,0.2696533799,0.0204461627
16:57:06:55.834,61,0.2132728249,0.3986215293,0.1189949960,0.0000000000,0.0000000000,0.0708043426,0.0000000000,0.2137005478,0.3995229006,0.0000000000,0.0082932441,0.0000000000,0.0708221868,0.0000000000,0.0493359007,0.0531532988,0.0000000000,0.0142607745,0.0118174572,0.3616604507,0.4331638217,0.0000000000,0.0278567243,0.3120763600,0.3307215571,0.0000000000,0.0000000000,0.0516064726,0.0561600998,0.1638521552,0.1769861430,0.0645693988,0.0211748090,0.3611737490,0.4088625908,0.1048215404,0.0967579111,0.1491048187,0.1597376913,0.1924433857,0.1967929602,0.0000000000,0.0000000000,0.4746963978,0.3003628552,0.3003775775,0.0837265924,0.1031329781,0.1030251980,0.1773185730,0.1779322922,0.0000185762,0.0000000000,0.0000000000,0.0000000000,0.0049159271,0.2440577000,0.0012241669,0.0705418736,0.2441235334,0.0175550152
16:57:06:57.834,61,0.1716440469,0.3735227287,0.1130237803,0.0000000000,0.0000000000,0.0704534575,0.0000000000,0.1720581651,0.3742720783,0.0000000000,0.0022386881,0.0000000000,0.0704699531,0.0000000000,0.0493220910,0.0525214262,0.0000000000,0.0140231699,0.0117068971,0.3586066365,0.4366941154,0.0000000000,0.0282050911,0.3016116917,0.3281450868,0.0000000000,0.0000000000,0.0513654687,0.0559484139,0.1621481031,0.1753802598,0.0643806383,0.0210139826,0.3832942843,0.4095932841,0.1042067930,0.0961528569,0.1493059844,0.1600066870,0.1971631795,0.2011321485,0.0000000000,0.0000000000,0.4122346044,0.2596688271,0.2596880198,0.0838691890,0.0955131054,0.1000166088,0.1791396141,0.1792414784,0.0000216145,0.0000000000,0.0000000000,0.0000000000,0.0013319505,0.2286300510,0.0003099432,0.0672500953,0.2286981940,0.0156407710
16:57:06:59.833,61,0.1493219286,0.3576630354,0.1065555736,0.0000000000,0.0000000000,0.0696166903,0.0000000000,0.1497087628,0.3582824171,0.0045553045,0.0000000000,0.0000000000,0.0696300641,0.0000000000,0.0492247641,0.0518687665,0.0000000000,0.0137889227,0.0115651423,0.3561902940,0.4389143288,0.0000000000,0.0283767693,0.2947061956,0.3224094808,0.0000000000,0.0000000000,0.0510793738,0.0556476451,0.1611780971,0.1743329316,0.0638902560,0.0207427219,0.3915453255,0.4102541506,0.1037223041,0.0956742242,0.1495779306,0.1602919996,0.2003466934,0.2040478140,0.0000000000,0.0000000000,0.3839475513,0.2439963371,0.2440165877,0.0841387659,0.0863792151,0.0918571502,0.1788097322,0.1792512834,0.0000294468,0.0000000000,0.0000000000,0.0000000000,-0.0027162966,0.2188630998,-0.0006041742,0.0635415912,0.2189329118,0.0141275041
16:57:07:01.833,61,0.1345070302,0.3483331800,0.1056392938,0.0000000000,0.0000000000,0.0678210780,0.0000000000,0.1347745210,0.3489199877,0.0056300634,0.0000000000,0.0000000000,0.0678305998,0.0000000000,0.0489728749,0.0511791632,0.0000000000,0.0135938339,0.0114232544,0.3530454934,0.4399231970,0.0000000000,0.0285271946,0.2909127176,0.3198048770,0.0000000000,0.0000000000,0.0508358181,0.0553540550,0.1604254246,0.1734259874,0.0629558936,0.0204072744,0.3956279755,0.4106421173,0.1033071280,0.0952348188,0.1498803049,0.1606012285,0.2021917105,0.2057138234,0.0000000000,0.0000000000,0.3671863079,0.2391107529,0.2391340584,0.0845003128,0.0781606585,0.0829148591,0.1752890944,0.1760322750,0.0000491056,0.0000000000,0.0000000000,0.0000000000,-0.0033613839,0.2131443471,-0.0007275090,0.0630740225,0.2132151425,0.0136460029
16:57:07:03.833,61,0.0867948681,0.3311308622,0.0966405421,0.0000000000,0.0000000000,0.0653572530,0.0000000000,0.0870277211,0.3315617442,0.0145752151,0.0000000000,0.0000000000,0.0653630719,0.0000000000,0.0488767028,0.0502201393,0.0000000000,0.0136544378,0.0114163021,0.3480663598,0.4178733230,0.0000000000,0.0293421149,0.2375431061,0.2721522450,0.0000000000,0.0000000000,0.0503794067,0.0548394099,0.1603539437,0.1732860506,0.0606087036,0.0201333016,0.3528852463,0.4139176905,0.0989688113,0.0908619314,0.1554143131,0.1666429341,0.2030176520,0.2064698339,0.0000000000,0.0000000000,0.3580437601,0.2415698320,0.2415829003,0.0840389132,0.0692363977,0.0738283396,0.1651591361,0.1672198325,0.0000508287,0.0000000000,0.0000000000,0.0000000000,-0.0087214904,0.2025473565,-0.0017910508,0.0578293912,0.2026197761,0.0118732266
16:57:07:05.833,61,0.0124253687,0.2798753679,0.0935543478,0.0000000000,0.0000000000,0.0634872168,0.0000000000,0.0124722216,0.2801829278,0.0173616316,0.0000000000,0.0000000000,0.0634900779,0.0000000000,0.0492680855,0.0481984355,0.0000000000,0.0257426947,0.0144517496,0.3285835981,0.3089678288,0.0000000000,0.0356591977,0.1302957386,0.1741701663,0.0000000000,0.0000000000,0.0449382327,0.0487098545,0.1604329944,0.1735590249,0.0555918254,0.0203600731,0.2091748118,0.4147603810,0.0633063540,0.0593846738,0.1895240545,0.2018449605,0.1540167779,0.1580596715,0.0000000000,0.0000000000,0.3594802618,0.2846677601,0.2846553326,0.0657334030,0.0499509387,0.0540452302,0.1076636687,0.1093885899,0.0000473638,0.0000000000,0.0000000000,0.0000000000,-0.0104506528,0.1711634547,-0.0018064108,0.0563150272,0.1712402999,0.0097333258
16:57:07:07.832,61,0.0000000000,0.2319789678,0.0882528275,0.0000000000,0.0000000000,0.0621218048,0.0319422036,0.0000000000,0.2321592867,0.0219625253,0.0000000000,0.0000000000,0.0621219873,0.0316307247,0.0504060127,0.0470300652,0.0000000000,0.0588873476,0.0324690603,0.2910159230,0.2331289351,0.0000000000,0.0388953499,0.0109109273,0.0524681844,0.0000000000,0.0000000000,0.0326243378,0.0349365845,0.1633689553,0.1803113222,0.0449149683,0.0213813819,0.1082014292,0.4154394865,0.0423380844,0.0398357064,0.2076339871,0.2200040817,0.1137759537,0.1176933348,0.0000000000,0.0000000000,0.3671125770,0.3256825507,0.3256025910,0.0451324843,0.0383783504,0.0412287936,0.0859014541,0.0873451531,0.0000267665,0.0000000000,0.0000000000,0.0000000000,-0.0132814460,0.1418306530,-0.0018963915,0.0533696860,0.1419113427,0.0076212515
16:57:07:09.832,61,0.0000000000,0.1942458749,0.0949682444,0.0000000000,0.0000000000,0.0615368187,0.0721675307,0.0000000000,0.1944293231,0.0145278405,0.0000000000,0.0000000000,0.0615355559,0.0717899054,0.0510417074,0.0461031757,0.0000000000,0.0767995268,0.0491365232,0.2532207668,0.2025192380,0.0000000000,0.0401768759,0.0000000000,0.0043541170,0.0743538067,0.0000000000,0.0273382086,0.0291735940,0.1690701246,0.1861663163,0.0401590914,0.0286166742,0.0718792230,0.3521794677,0.0318832435,0.0301101711,0.2150402069,0.2275004834,0.0788194090,0.0797372162,0.0000000000,0.0000000000,0.3727537990,0.3386422694,0.3385524154,0.0369001552,0.0327506028,0.0347879119,0.0736492947,0.0747546926,0.0000126647,0.0000000000,0.0000000000,0.0000000000,-0.0088120308,0.1187747493,-0.0010515827,0.0576044284,0.1188561469,0.0068751513
16:57:07:11.832,61,0.0000000000,0.1773005724,0.0939711630,0.0000000000,0.0000000000,0.0612578578,0.0869492739,0.0000000000,0.1774481088,0.0151869804,0.0000000000,0.0000000000,0.0612555556,0.0865327269,0.0513752997,0.0441304706,0.0000000000,0.0862894878,0.0561384261,0.2327492237,0.1792583168,0.0000000000,0.0409142859,0.0000000000,0.0000000000,0.0894668251,0.0315975286,0.0245938543,0.0262111798,0.1721630096,0.1889722049,0.0374257937,0.0350329950,0.0552314073,0.2881923020,0.0263316277,0.0249290057,0.2184897065,0.2309359610,0.0637013093,0.0644927323,0.0000000000,0.0000000000,0.3742558360,0.3300318718,0.3299340606,0.0325920172,0.0296641588,0.0313730165,0.0670501739,0.0681679249,0.0000809547,0.0000000000,0.0000000000,0.0000000000,-0.0092227468,0.1084015071,-0.0010036798,0.0570669957,0.1084840670,0.0062118084
16:57:07:13.831,61,0.0000000000,0.1609092951,0.0934491530,0.0000000000,0.0000000000,0.0613842271,0.0935592428,0.0000000000,0.1610252112,0.0157590620,0.0000000000,0.0000000000,0.0613810532,0.0930417031,0.0523089394,0.0431002527,0.0000000000,0.1363648474,0.0745993406,0.2232800126,0.1584946811,0.0000000000,0.0413467921,0.0000000000,0.0000000000,0.0977919698,0.0484453067,0.0229523052,0.0244810209,0.1755101383,0.1924769729,0.0358551778,0.0488968864,0.0465102531,0.2678543031,0.0232183672,0.0220097862,0.2241150290,0.2365920842,0.0558912866,0.0565972924,0.0000000000,0.0000000000,0.3688205481,0.3128077090,0.3126940429,0.0300026517,0.0278044883,0.0293332394,0.0632169545,0.0642893091,0.0000830600,0.0000000000,0.0000000000,0.0000000000,-0.0095801279,0.0983692408,-0.0009454266,0.0568090007,0.0984532461,0.0056080953
16:57:07:15.831,61,0.0000000000,0.1409436762,0.1010039076,0.0000000000,0.0000000000,0.0617000312,0.0959022790,0.0000000000,0.1410691589,0.0081797931,0.0000000000,0.0000000000,0.0616961271,0.0953354388,0.0597479604,0.0424025059,0.0000000000,0.1768212616,0.0940586030,0.2186401039,0.1354854405,0.0000000000,0.0419336371,0.0000000000,0.0000000000,0.1006609797,0.0525495559,0.0219348688,0.0234584380,0.1778819263,0.1961608380,0.0349210463,0.0617744699,0.0419890173,0.2629637122,0.0213090684,0.0202084109,0.2667546272,0.2825126052,0.0517447256,0.0524657406,0.0000000000,0.0000000000,0.3383204341,0.2938292325,0.2936483622,0.0281785503,0.0265890397,0.0280374140,0.0607889183,0.0619598664,0.0001753112,0.0000000000,0.0000000000,0.0000000000,-0.0049782102,0.0861753225,-0.0004300622,0.0614709482,0.0862609372,0.0053123357
16:57:07:17.831,61,0.0000000000,0.1299913675,0.1058070287,0.0000000000,0.0000000000,0.0619574860,0.0965732187,0.0000000000,0.1301207542,0.0031122754,0.0000000000,0.0000000000,0.0619521812,0.0959487185,0.0639936998,0.0418237448,0.0000000000,0.2021617889,0.1126198024,0.2163793594,0.1271459013,0.0000000000,0.0431142189,0.0000000000,0.0000000000,0.1050537154,0.0575708486,0.0212409906,0.0228041783,0.1874749511,0.2104997933,0.0343693532,0.0747907311,0.0396225676,0.2581234872,0.0200399663,0.0190034360,0.2784425318,0.2949339747,0.0485992171,0.0497525521,0.0000000000,0.0000000000,0.3205325007,0.2708538771,0.2706437111,0.0269844234,0.0256954152,0.0271121226,0.0587226301,0.0598442629,0.0002906331,0.0000000000,0.0000000000,0.0000000000,-0.0018951783,0.0794863999,-0.0001509588,0.0644298941,0.0795726702,0.0051341075
16:57:07:19.831,61,0.0000000000,0.1304370910,0.1035635993,0.0000000000,0.0000000000,0.0620569214,0.0969261825,0.0000000000,0.1305551529,0.0055591082,0.0000000000,0.0000000000,0.0620505549,0.0962762982,0.0688781887,0.0411747284,0.0000000000,0.2339386791,0.1501280665,0.2151221037,0.1218300760,0.0000000000,0.0444882624,0.0000000000,0.0000000000,0.1068470031,0.0602232516,0.0209108144,0.0225464515,0.1974978447,0.2200105935,0.0343046859,0.0955667049,0.0384014733,0.2065024376,0.0191650931,0.0181664061,0.2836905718,0.2991442382,0.0444225147,0.0459732190,0.0000000000,0.0000000000,0.3092815280,0.2615716457,0.2613779902,0.0262100659,0.0249521118,0.0263550933,0.0574214533,0.0585340932,0.0002696638,0.0000000000,0.0000000000,0.0000000000,-0.0033850726,0.0797520727,-0.0002705398,0.0630624294,0.0798385367,0.0050421502
